name_1,name_2,true,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob,pred
HP0005,HP0006,1,0.9764545559883118,0.948989987373352,0.9396372437477112,0.9407665133476257,0.9718853831291199,0.9457648992538452,0.9654145836830139,0.9684664607048035,0.9657882452011108,0.9484651684761047,0.9571633040904999,1
HP0012,HP0013,1,0.9871581196784973,0.9769251942634583,0.9547532796859741,0.9843636751174927,0.9736410975456238,0.9683225154876709,0.9784982204437256,0.9737460613250732,0.9736137986183167,0.9839905500411987,0.9755012512207031,1
HP0013,HP0014,1,0.9131418466567993,0.718479335308075,0.6356514096260071,0.7688034176826477,0.82701176404953,0.7780264616012573,0.6852165460586548,0.7089138031005859,0.7687045335769653,0.6853245496749878,0.748927366733551,1
HP0014,HP0015,0,0.5790577530860901,0.2825075685977936,0.4035741090774536,0.2695419490337372,0.3356921374797821,0.3616379201412201,0.22022587060928345,0.5050197839736938,0.09232290834188461,0.28741946816444397,0.3336999468505383,0
HP0015,HP0016,1,0.9863965511322021,0.9751543998718262,0.9505211710929871,0.9845992922782898,0.9742130637168884,0.9730164408683777,0.9761186838150024,0.9720891714096069,0.974617600440979,0.981797993183136,0.9748524367809296,1
HP0016,HP0017,1,0.9786683917045593,0.8581314086914062,0.9229845404624939,0.8888239860534668,0.972832441329956,0.9263668656349182,0.9231032133102417,0.9485961198806763,0.9498103260993958,0.8757908940315247,0.9245108187198638,1
HP0019,HP0020,1,0.9846948385238647,0.9776936769485474,0.9478749632835388,0.9733357429504395,0.9768691062927246,0.9766011238098145,0.97905433177948,0.9690220952033997,0.9736335873603821,0.9756861925125122,0.9734465658664704,1
HP0024,HP0027,0,0.00029210461070761085,0.00010885144001804292,0.0009531102841719985,0.0008134775562211871,0.0005535101518034935,0.004724197089672089,0.0005603151512332261,0.00014714582357555628,0.0002054853830486536,0.000449913990451023,0.0008808111480902881,0
HP0027,HP0028,1,0.9897300004959106,0.9849823117256165,0.9622631669044495,0.9727928638458252,0.9824755191802979,0.9259979128837585,0.9780860543251038,0.9710954427719116,0.9663531184196472,0.9622253179550171,0.9696001708507538,1
HP0059,HP0060,1,0.9925918579101562,0.9713972210884094,0.9655873775482178,0.9300391674041748,0.9699154496192932,0.9037030935287476,0.9709917902946472,0.9322230815887451,0.9422720670700073,0.9571993947029114,0.953592050075531,1
HP0060,HP0061,1,0.9883407950401306,0.9787336587905884,0.954975426197052,0.984285295009613,0.9692807197570801,0.9474700093269348,0.9818627238273621,0.9717181324958801,0.9618210792541504,0.9841398000717163,0.9722627639770508,1
HP0061,HP0062,1,0.9912974238395691,0.9837004542350769,0.9711650013923645,0.9608672857284546,0.977554202079773,0.9560226798057556,0.9685087203979492,0.9488987922668457,0.9809159636497498,0.9658719301223755,0.9704802453517913,1
HP0062,HP0063,1,0.9877869486808777,0.9729170799255371,0.9675537347793579,0.9425016045570374,0.9815570712089539,0.971224308013916,0.9753508567810059,0.9843977689743042,0.970848023891449,0.9750610589981079,0.9729198455810547,1
HP0063,HP0064,1,0.9882088899612427,0.9783703684806824,0.9550297260284424,0.984623908996582,0.9704294800758362,0.9512020945549011,0.9813778400421143,0.9712974429130554,0.9635385274887085,0.9844321608543396,0.9728510439395904,1
HP0064,HP0065,1,0.9961879849433899,0.988681435585022,0.9892463684082031,0.9765411019325256,0.9843536019325256,0.9759884476661682,0.9860969185829163,0.9812964797019958,0.9888695478439331,0.9810890555381775,0.9848350942134857,1
HP0065,HP0066,1,0.9848353862762451,0.9602022171020508,0.9405505061149597,0.9766408801078796,0.9538544416427612,0.9736326336860657,0.9601837992668152,0.9691075086593628,0.9658718109130859,0.970140278339386,0.9655019462108612,1
HP0066,HP0076,0,0.00017232079699169844,0.0005507413297891617,0.00136048742569983,0.0008219546871259809,0.00022144489048514515,0.003993089776486158,0.001324901357293129,0.0008858065120875835,0.00021722109522670507,0.0008012109319679439,0.0010349178803153336,0
HP0076,HP0077,1,0.9715702533721924,0.8652963042259216,0.8880691528320312,0.8599299192428589,0.9398514032363892,0.7699100971221924,0.9628758430480957,0.9296745657920837,0.8943360447883606,0.7060189247131348,0.878753250837326,1
HP0077,HP0078,0,0.11153213679790497,0.17409414052963257,0.09112458676099777,0.07453356683254242,0.07233539968729019,0.1409938782453537,0.17868396639823914,0.10110314190387726,0.07840738445520401,0.023730654269456863,0.10465388558804989,0
HP0078,HP0079,1,0.9932889342308044,0.9858516454696655,0.9859300851821899,0.981532871723175,0.9915041327476501,0.9708372354507446,0.9941792488098145,0.9793126583099365,0.9914288520812988,0.9745506644248962,0.9848416328430176,1
HP0099,HP0100,1,0.9873335361480713,0.9780585169792175,0.9553762674331665,0.9845037460327148,0.9739724397659302,0.9665789008140564,0.9796572327613831,0.9737242460250854,0.9725047945976257,0.9842858910560608,0.9755995571613312,1
HP0100,HP0101,1,0.9875787496566772,0.9627824425697327,0.9279282093048096,0.9660922884941101,0.9583642482757568,0.9176449775695801,0.9615737199783325,0.9464476704597473,0.9822441935539246,0.8372589945793152,0.9447915494441986,1
HP0112,HP0113,1,0.9781623482704163,0.9517817497253418,0.925068199634552,0.8750599026679993,0.9007060527801514,0.9179452061653137,0.8497416973114014,0.8980119824409485,0.9150837063789368,0.8878229856491089,0.909938383102417,1
HP0113,HP0116,0,0.002875929232686758,0.003876663278788328,0.0067001525312662125,0.005783900618553162,0.004226679913699627,0.012857198715209961,0.0012140045873820782,0.003651714650914073,0.0021213707514107227,0.001166132977232337,0.004447374725714326,0
